106;(%STANDARD%: Award 486 BIOS);Type 27;112;1224,00;11,00;17,00;-1,00;1223,00;MFM;1224,00;11,00;17,00
107;(%STANDARD%: Award 486 BIOS);Type 28;152;1224,00;15,00;17,00;-1,00;1223,00;MFM;1224,00;15,00;17,00
108;(%STANDARD%: Award 486 BIOS);Type 29;68;1024,00;8,00;17,00;-1,00;1023,00;MFM;1024,00;8,00;17,00
109;(%STANDARD%: Award 486 BIOS);Type 30;94;1024,00;11,00;17,00;-1,00;1023,00;MFM;1024,00;11,00;17,00
110;(%STANDARD%: Award 486 BIOS);Type 31;84;918,00;11,00;17,00;-1,00;1023,00;MFM;918,00;11,00;17,00
111;(%STANDARD%: Award 486 BIOS);Type 32;69;925,00;9,00;17,00;-1,00;926,00;MFM;925,00;9,00;17,00
112;(%STANDARD%: Award 486 BIOS);Type 33;85;1024,00;10,00;17,00;-1,00;1023,00;MFM;1024,00;10,00;17,00
113;(%STANDARD%: Award 486 BIOS);Type 34;102;1024,00;12,00;17,00;-1,00;1023,00;MFM;1024,00;12,00;17,00
114;(%STANDARD%: Award 486 BIOS);Type 35;110;1024,00;13,00;17,00;-1,00;1023,00;MFM;1024,00;13,00;17,00
115;(%STANDARD%: Award 486 BIOS);Type 36;119;1024,00;14,00;17,00;-1,00;1023,00;MFM;1024,00;14,00;17,00
116;(%STANDARD%: Award 486 BIOS);Type 37;17;1024,00;2,00;17,00;-1,00;1023,00;MFM;1024,00;2,00;17,00
117;(%STANDARD%: Award 486 BIOS);Type 38;136;1024,00;16,00;17,00;-1,00;1023,00;MFM;1024,00;16,00;17,00
118;(%STANDARD%: Award 486 BIOS);Type 39;114;918,00;15,00;17,00;-1,00;1023,00;MFM;918,00;15,00;17,00
119;(%STANDARD%: Award 486 BIOS);Type 40;41;820,00;6,00;17,00;-1,00;820,00;MFM;820,00;6,00;17,00
120;(%STANDARD%: Award 486 BIOS);Type 41;42;1024,00;5,00;17,00;-1,00;1023,00;MFM;1024,00;5,00;17,00
121;(%STANDARD%: Award 486 BIOS);Type 42;65;1024,00;5,00;26,00;-1,00;1023,00;RLL;1024,00;5,00;26,00
122;(%STANDARD%: Award 486 BIOS);Type 43;40;809,00;6,00;17,00;-1,00;852,00;MFM;809,00;6,00;17,00
123;(%STANDARD%: Award 486 BIOS);Type 44;62;809,00;6,00;26,00;-1,00;852,00;RLL;809,00;6,00;26,00
124;(%STANDARD%: Award 486 BIOS);Type 45;100;776,00;8,00;33,00;-1,00;775,00;RLL;776,00;8,00;33,00
125;(%STANDARD%: Award 486 BIOS);Type 46;203;684,00;16,00;38,00;-1,00;685,00;RLL;684,00;16,00;38,00
